zone	rooms	outbound_cross_zone_exits	inbound_from_other_zones
200	100	0	0
201	100	0	0
202	100	0	0
203	100	0	0
204	100	0	0
205	100	0	0
206	100	0	0
207	100	0	0
208	100	0	0
209	100	0	0
210	100	0	0
211	100	0	0
212	100	0	0
214	100	0	0
216	100	0	0
217	100	0	0
218	100	0	0
219	100	0	0
220	100	0	0
221	100	0	0
222	100	0	0
223	100	0	0
224	100	0	0
230	100	0	0
231	100	0	0
232	100	0	0
233	100	0	0
234	100	0	0
235	100	0	0
236	100	0	0
237	100	0	0
238	100	0	0
239	100	0	0
241	100	0	0
242	100	0	0
243	100	0	0
244	100	0	0
245	100	0	0
246	100	0	0
247	100	0	0
248	100	0	0
249	100	0	0
250	100	0	0
251	100	0	0
252	100	0	0
253	100	0	0
254	100	0	0
255	100	0	0
260	100	0	0
261	100	0	0
262	100	0	0
263	100	0	0
264	100	0	0
265	100	0	0
266	100	0	0
267	100	0	0
268	100	0	0
269	100	0	0
270	100	0	0
271	100	0	0
272	100	0	0
273	100	0	0
274	100	0	0
275	100	0	0
276	100	0	0
277	100	0	0
278	100	0	0
279	100	0	0
280	100	0	0
281	100	0	0
282	100	0	0
283	100	0	0
284	100	0	0
285	100	0	0
300	100	0	0
301	100	0	0
302	100	0	0
303	100	0	0
304	100	0	0
305	100	0	0
306	100	0	0
307	100	0	0
308	100	0	0
309	100	0	0
310	100	0	0
312	100	0	0
313	100	0	0
314	100	0	0
316	100	0	0
317	100	0	0
318	100	0	0
320	100	0	0
321	100	0	0
322	100	0	0
325	100	0	0
330	100	0	0
331	100	0	0
332	100	0	0
333	100	0	0
334	100	0	0
335	100	0	0
336	100	0	0
337	100	0	0
338	100	0	0
339	100	0	0
340	100	0	0
341	100	0	0
342	100	0	0
343	100	0	0
344	100	0	0
345	100	0	0
346	100	0	0
347	100	0	0
348	100	0	0
349	100	0	0
350	100	0	0
351	100	0	0
352	100	0	0
353	100	0	0
354	100	0	0
355	100	0	0
361	100	0	0
362	100	0	0
363	100	0	0
364	100	0	0
365	100	0	0
366	100	0	0
367	100	0	0
368	100	0	0
369	100	0	0
370	100	0	0
372	100	0	0
373	100	0	0
374	100	0	0
375	100	0	0
376	100	0	0
377	100	0	0
378	100	0	0
379	100	0	0
380	100	0	0
381	100	0	0
382	100	0	0
383	100	0	0
384	100	0	0
385	100	0	0
405	100	0	0
406	100	0	0
408	100	0	0
409	100	0	0
410	100	0	0
411	100	0	0
412	100	0	0
413	100	0	0
414	100	0	0
415	100	0	0
416	100	0	0
417	100	0	0
418	100	0	0
419	100	0	0
420	100	0	0
421	100	0	0
422	100	0	0
423	100	0	0
424	100	0	0
425	100	0	0
430	100	0	0
431	100	0	0
432	100	0	0
433	100	0	0
434	100	0	0
435	100	0	0
436	100	0	0
437	100	0	0
438	100	0	0
439	100	0	0
440	100	0	0
441	100	0	0
442	100	0	0
443	100	0	0
444	100	0	0
445	100	0	0
446	100	0	0
447	100	0	0
448	100	0	0
449	100	0	0
450	100	0	0
451	100	0	0
452	100	0	0
453	100	0	0
454	100	0	0
455	100	0	0
460	100	0	0
461	100	0	0
462	100	0	0
463	100	0	0
464	100	0	0
465	100	0	0
466	100	0	0
467	100	0	0
470	100	0	0
471	100	0	0
472	100	0	0
473	100	0	0
474	100	0	0
475	100	0	0
476	100	0	0
477	100	0	0
478	100	0	0
479	100	0	0
480	100	0	0
481	100	0	0
482	100	0	0
483	100	0	0
484	100	0	0
485	100	0	0
500	100	0	0
501	100	0	0
502	100	0	0
503	100	0	0
504	100	0	0
505	100	0	0
506	100	0	0
507	100	0	0
510	100	0	0
511	100	0	0
512	100	0	0
513	100	0	0
514	100	0	0
515	100	0	0
516	100	0	0
517	100	0	0
518	100	0	0
519	100	0	0
520	100	0	0
521	100	0	0
522	100	0	0
523	100	0	0
524	100	0	0
525	100	0	0
530	100	0	0
531	100	0	0
532	100	0	0
533	100	0	0
534	100	0	0
535	100	0	0
536	100	0	0
541	100	0	0
542	100	0	0
543	100	0	0
544	100	0	0
545	100	0	0
546	100	0	0
547	100	0	0
548	100	0	0
549	100	0	0
550	100	0	0
551	100	0	0
552	100	0	0
553	100	0	0
554	100	0	0
555	100	0	0
560	100	0	0
561	100	0	0
562	100	0	0
563	100	0	0
564	100	0	0
565	100	0	0
566	100	0	0
571	100	0	0
572	100	0	0
573	100	0	0
574	100	0	0
575	100	0	0
576	100	0	0
577	100	0	0
578	100	0	0
579	100	0	0
580	100	0	0
581	100	0	0
582	100	0	0
583	100	0	0
584	100	0	0
585	100	0	0
600	100	0	0
601	100	0	0
602	100	0	0
603	100	0	0
604	100	0	0
605	100	0	0
606	100	0	0
612	100	0	0
613	100	0	0
614	100	0	0
615	100	0	0
616	100	0	0
617	100	0	0
618	100	0	0
619	100	0	0
620	100	0	0
621	100	0	0
622	100	0	0
623	100	0	0
624	100	0	0
625	100	0	0
630	100	0	0
631	100	0	0
632	100	0	0
633	100	0	0
634	100	0	0
635	100	0	0
636	100	0	0
637	100	0	0
641	100	0	0
642	100	0	0
643	100	0	0
644	100	0	0
645	100	0	0
646	100	0	0
647	100	0	0
648	100	0	0
649	100	0	0
650	100	0	0
651	100	0	0
652	100	0	0
653	100	0	0
654	100	0	0
655	100	0	0
660	100	0	0
661	100	0	0
662	100	0	0
663	100	0	0
664	100	0	0
665	100	0	0
666	100	0	0
667	100	0	0
668	100	0	0
669	100	0	0
671	100	0	0
672	100	0	0
673	100	0	0
674	100	0	0
675	100	0	0
676	100	0	0
677	100	0	0
678	100	0	0
679	100	0	0
680	100	0	0
681	100	0	0
682	100	0	0
683	100	0	0
684	100	0	0
685	100	0	0
700	100	0	0
701	100	0	0
702	100	0	0
703	100	0	0
704	100	0	0
705	100	0	0
708	100	0	0
709	100	0	0
710	100	0	0
711	100	0	0
712	100	0	0
713	100	0	0
714	100	0	0
715	100	0	0
716	100	0	0
717	100	0	0
718	100	0	0
719	100	0	0
720	100	0	0
721	100	0	0
722	100	0	0
723	100	0	0
724	100	0	0
725	100	0	0
730	100	0	0
731	100	0	0
732	100	0	0
733	100	0	0
734	100	0	0
735	100	0	0
736	100	0	0
737	100	0	0
738	100	0	0
739	100	0	0
740	100	0	0
741	100	0	0
742	100	0	0
743	100	0	0
744	100	0	0
745	100	0	0
746	100	0	0
747	100	0	0
748	100	0	0
749	100	0	0
750	100	0	0
751	100	0	0
752	100	0	0
753	100	0	0
754	100	0	0
755	100	0	0
760	100	0	0
761	100	0	0
762	100	0	0
763	100	0	0
764	100	0	0
765	100	0	0
766	100	0	0
767	100	0	0
768	100	0	0
769	100	0	0
770	100	0	0
771	100	0	0
772	100	0	0
773	100	0	0
774	100	0	0
775	100	0	0
776	100	0	0
777	100	0	0
778	100	0	0
779	100	0	0
780	100	0	0
781	100	0	0
782	100	0	0
783	100	0	0
784	100	0	0
785	100	0	0
800	100	0	0
801	100	0	0
802	100	0	0
803	100	0	0
804	100	0	0
805	100	0	0
806	100	0	0
807	100	0	0
808	100	0	0
809	100	0	0
810	100	0	0
811	100	0	0
812	100	0	0
813	100	0	0
814	100	0	0
815	100	0	0
816	100	0	0
817	100	0	0
818	100	0	0
819	100	0	0
820	100	0	0
821	100	0	0
822	100	0	0
823	100	0	0
824	100	0	0
825	100	0	0
830	100	0	0
831	100	0	0
832	100	0	0
833	100	0	0
834	100	0	0
835	100	0	0
836	100	0	0
837	100	0	0
838	100	0	0
839	100	0	0
840	100	0	0
841	100	0	0
842	100	0	0
843	100	0	0
844	100	0	0
845	100	0	0
846	100	0	0
847	100	0	0
848	100	0	0
849	100	0	0
850	100	0	0
851	100	0	0
852	100	0	0
853	100	0	0
854	100	0	0
855	100	0	0
860	100	0	0
861	100	0	0
862	100	0	0
863	100	0	0
864	100	0	0
865	100	0	0
866	100	0	0
867	100	0	0
868	100	0	0
869	100	0	0
870	100	0	0
871	100	0	0
872	100	0	0
873	100	0	0
874	100	0	0
875	100	0	0
876	100	0	0
877	100	0	0
878	100	0	0
879	100	0	0
880	100	0	0
881	100	0	0
882	100	0	0
883	100	0	0
884	100	0	0
885	100	0	0
900	100	0	0
901	100	0	0
902	100	0	0
903	100	0	0
904	100	0	0
905	100	0	0
906	100	0	0
907	100	0	0
908	100	0	0
909	100	0	0
910	100	0	0
911	100	0	0
912	100	0	0
913	100	0	0
914	100	0	0
915	100	0	0
916	100	0	0
917	100	0	0
918	100	0	0
919	100	0	0
920	100	0	0
921	100	0	0
922	100	0	0
923	100	0	0
924	100	0	0
925	100	0	0
